ASSETID,RUNNERID,DMRID,SRO_CUSTOM_DESCRIPTION
4658793rid,4658793,,Suspicious Minds - Recommended Ep
4658738rid,4658738,,"With Affection, Jack The Ripper/Gigolo - Recommend"
4658192rid,4658192,,Episode 1004 - Recommended Ep
4658201rid,4658201,,"Mel Schwartz, Bounty Hunter - Recommended Ep"
4657605rid,4657605,,Special Delivery - Recommended Ep
4657755rid,4657755,,Rasome of Red Val - Recommended Ep
4657726rid,4657726,,New Val'd Order - Recommended Ep
4669779rid,4669779,,Archie's New Partner Part 1 - Recommended Episode
4657712rid,4657712,,Val Who Cried Wolf - Recommended Ep
4669783rid,4669783,,The Return of Sammy - Recommended Ep
4657813rid,4657813,,Arthur After Hours - Recommended Ep
4657735rid,4657735,,Val In Space - Recommended Ep
4657886rid,4657886,,Second Sight - Recommended Ep
4657792rid,4657792,,"Hankerciser, The - Recommended Ep"
4657887rid,4657887,,Show Me the Money - Recommended Ep
4657793rid,4657793,,"Mr. Sharon Stone Show, The - Recommended Ep"
4657599rid,4657599,,Bloodwork - Recommended Ep
4657786rid,4657786,,Flip Part 1 - Recommended Ep
4657787rid,4657787,,"Hey Now Episode, The - Recommended Ep"
4657753rid,4657753,,Return of the Owl - Recommended Ep
4491977rid,4491977,,test1
4657595rid,4657595,,Trauma - Recommended Ep
4657796rid,4657796,,Adolph Hankler - Recommended Ep
4657598rid,4657598,,Recovery Time - Recommended Ep
4657716rid,4657716,,Super Leaks - Uncensored
4657604rid,4657604,,Unorthodox Treatment - Recommended Ep
4657591rid,4657591,,Paternity Test - Recommended Ep
4657963rid,4657963,,Episode 2 of 2 x 90
4657809rid,4657809,,Life Behind Larry - Recommended Ep
4657603rid,4657603,,Baby Boom! - Recommended Ep
4657733rid,4657733,,Ride of the Valkries - Recommended Ep
4657804rid,4657804,,Brush with (the elbow) of Greatness-Recommended Ep
4657794rid,4657794,,Hank's Sex Tape - Recommended Ep
4657737rid,4657737,,21 Val Street - Recommended Ep
4669781rid,4669781,,The Ambush - Recommended Episodes
4669780rid,4669780,,Thanksgiving Reunion Part 1 - Recommended Ep
4657600rid,4657600,,"Implants, Transplants & Cuban Aunts - Recommended"
4657771rid,4657771,,"Roast, The - Recommended Ep"
4657736rid,4657736,,Sunshine Girls - Recommended Ep
4657596rid,4657596,,Jeaneology - Recommended Ep
4657562rid,4657562,,League Goes To College - Uncensored
4657788rid,4657788,,Off Camera - Recommended Ep
4657807rid,4657807,,Out of the Loop - Recommended Ep
4657812rid,4657812,,Next Stop.. Bottom - Recommended Ep
4669784rid,4669784,,Veronica's Ex - Recommended Episode
4671878rid,4671878,,Archie's New Partner Part 2 - Recommended Episode
4657960rid,4657960,,English subtitles
4657861rid,4657861,,Deadline - Recommended Ep
4657862rid,4657862,,Just One of Those Things - Recommended Ep
4657601rid,4657601,,Broken Hearts - Recommended Ep
4657814rid,4657814,,Everybody Loves Larry - Recommended Ep
4657738rid,4657738,,Molar Ice Cap - Recommended Ep
4657593rid,4657593,,Rape Kit (Valentine's Day Special)-Recommended Ep
4657808rid,4657808,,"New Producer Episode, The - Recommended Ep"
4657795rid,4657795,,Hank's Night in the Sun - Recommended Ep
4657734rid,4657734,,Val Under Covers - Recommended Ep
4657864rid,4657864,,Time - Recommended Ep
4657810rid,4657810,,"Grand Opening, The - Recommended Ep"
4657739rid,4657739,,Diagnosis Val - Recommended Ep
4657740rid,4657740,,Val Squared - Recommended Ep
4657711rid,4657711,,Bodyguards - Recommended Ep
4657592rid,4657592,,Relief - Recommended Ep
4669785rid,4669785,,Thanksgiving Reunion Part 2 - Recommended Ep
4657789rid,4657789,,Party - Recommended Ep
4657791rid,4657791,,Artie's Gone - Recommended Ep
4657797rid,4657797,,My Name is Asher Kingsly - Recommended Ep
4657890rid,4657890,,Don't Walk Away Renee - Recommended Ep
4657811rid,4657811,,Arthur's Crisis - Recommended Ep
4657790rid,4657790,,Hank's Contract - Recommended Ep
4657798rid,4657798,,Putting the Gay Back In Litigation- Recommended Ep
4657741rid,4657741,,Super Leaks - Censored
4669810rid,4669810,,Extended Version
4657732rid,4657732,,"Run, Val, Run - Recommended Ep"
4657602rid,4657602,,GSW: Gunshot Wedding - Recommended Ep
4657620rid,4657620,,Chief Complaints - Recommended Ep
4669803rid,4669803,,BAD AUDIO
4657799rid,4657799,,Larry's Sitcom - Recommended Ep
4657961rid,4657961,,English Subtitles
4657561rid,4657561,,League Goes To College - Censored
4657805rid,4657805,,Hank's Wedding - Recommended Ep
4657728rid,4657728,,Val Goes To Town - Recommended Ep
4657806rid,4657806,,"Spider's Episode, The - Recommended Ep"
4657597rid,4657597,,Dying Inside - Recommended Ep
4657800rid,4657800,,Larry's Big Idea - Recommended Ep
4657685rid,4657685,,Episode 1 of 1x90
4657815rid,4657815,,Flip Part 2 - Recommended Ep
4657752rid,4657752,,Beats Working At A HotDog Stand - Recommended Ep
4673130rid,4673130,,BAD AUDIO
4657889rid,4657889,,Hot Time In Old Town - Recommended Ep
4657863rid,4657863,,Fate - Recommended Ep
4657684rid,4657684,,Episode 2 of 2x90
4669809rid,4669809,,"League of Cheesedom, The - Uncensored"
4657936rid,4657936,,Episode 1 of 2x90.
4669808rid,4669808,,"League of Cheesedom, The - Censored"
4669782rid,4669782,,The Shabbat Dinner - Recommended Episode
4657779rid,4657779,,Stop Or Val's Mom Will Shoot - Recommended Ep
4657727rid,4657727,,Why Too Kay - Recommended Ep
4657594rid,4657594,,Intensive Care - Recommended Ep
4657729rid,4657729,,All You Need Is Val - Recommended Ep
4657730rid,4657730,,"Lights, Camera, Val - Recommended Ep"
4657731rid,4657731,,Val's On First - Recommended Ep
4751920rid,4751920,,I don't even have to use... - Uncensored
4731866rid,4731866,,Weekend Away - Recommended Episode
4811617rid,4811617,,Veronica and the Health Inspector - Recommended Ep
4701408rid,4701408,,Premiere Cut
4726789rid,4726789,,Gloria Comes Home Part 1 - Recommended Episode
4726788rid,4726788,,Sex and the Single Parent - Recommended Episode
4731714rid,4731714,,Murray Klein's Place - Recommended Episode
4726790rid,4726790,,Blast From The Past - Recommended Episode
4715843rid,4715843,,Episode 2 of 3x60
4716878rid,4716878,,Episode 3 of 3x60
4726785rid,4726785,,Gloria Comes Home Part 2 - Recommended Episode
4751922rid,4751922,,I Don't Even Have To Use... - Censored
4726773rid,4726773,,The Business Manager - Recommended Episode
4731712rid,4731712,,The Incident - Recommended Episode
4726779rid,4726779,,Growing Up is Hard To Do Part 2 - Recommended Ep
4726780rid,4726780,,Growing Up is Hard To Do Part 1 - Recommended Ep
4731868rid,4731868,,La Cage Aux Bunker - Recommended Episode
5148160rid,5148160,,Pilot Intro
4928609rid,4928609,,International B - Coming Soon
5161608rid,5161608,,English Subs
4982820rid,4982820,,The Gurman Files - Censored
5027309rid,5027309,,We Need To Talk About Liplor - Uncensored
5043021rid,5043021,,Long Days Journey Into Night - Censored
5172453rid,5172453,,English Subs
5063179rid,5063179,,Titanium Lex - Censored
5043179rid,5043179,,Long Days Journey Into Night - Uncensored
4926160rid,4926160,,Black To the Future - Censored
5063170rid,5063170,,Titanium Lex - Uncensored
4926130rid,4926130,,Back To the Future - Uncensored
5119029rid,5119029,,Locked Cut - Not Final
5004198rid,5004198,,Theatrical Trailer - Clean
4928608rid,4928608,,International A - Coming Soon
4937094rid,4937094,,Blazarmageddon - Uncensored
5119818rid,5119818,,DTR1-August 4
5136571rid,5136571,,Intl B - Coming Soon
4931583rid,4931583,,German w/ English subs
4862688rid,4862688,,Father Christmas - Recommended Episode
4862696rid,4862696,,Boy's Night Out - Recommended Episode
5024184rid,5024184,,Generic Promo - Truth
4982789rid,4982789,,The Gurman Files - Uncensored
4862596rid,4862596,,Archie's Night Out - Recommended Episode
4861753rid,4861753,,Episode 1 of 2 - 2x90
5024185rid,5024185,,Launch Promo - Being 20 Something
5024186rid,5024186,,Launch Promo - Cast
4862695rid,4862695,,I'm Torn Here - Recommended Episode
4862623rid,4862623,,Archie Gets A Head - Recommended Episode
4869245rid,4869245,,Archie Alone Parts 1&2 - Recommended Episodes
4936565rid,4936565,,Blazarmaggedon - Censored
5024187rid,5024187,,Trailer - Rise Up
4941316rid,4941316,,Mandarin Chinese - No subtitles
5017236rid,5017236,,We Need To Talk About Liplor - Censored
4985975rid,4985975,,DTR 3 - 7-7-17
5003597rid,5003597,,Russian w/English subtitles
5093305rid,5093305,,DIRECTOR'S CUT
5139570rid,5139570,,Pilot Intro
5151394rid,5151394,,PIlot Intro
5142193rid,5142193,,Pilot Intro
5161610rid,5161610,,English subs
4862577rid,4862577,,West Side of Astoria - Recommended Episode
5151530rid,5151530,,Pilot Intro
5489895rid,5489895,,Part 6 of 8
5271837rid,5271837,,FINAL
5274990rid,5274990,,20 Minute Screenings Reel
5471672rid,5471672,,Censored Version
5489897rid,5489897,,Part 7 of 8
5311612rid,5311612,,Bars and tones
5274911rid,5274911,,LATAM OP Reel
5259941rid,5259941,,Final
5389378rid,5389378,,Features Short
5304029rid,5304029,,2 Hour Final - 89A/B
5337264rid,5337264,,Blind Date UK S1 Ep2
5301810rid,5301810,,Non-Final
5488222rid,5488222,,Episode 1 of 8
5489904rid,5489904,,Night 2 of 2
5329304rid,5329304,,Blind Date UK S1 Ep1
5304782rid,5304782,,Intl A - Coming Soon
5488289rid,5488289,,Episode 2 of 8
5489876rid,5489876,,Part 5 of 8
5489898rid,5489898,,Part 8 of 8
5489874rid,5489874,,Part 4 of 8
5489878rid,5489878,,Night 1of 2
5521405rid,5521405,,Dub
5521269rid,5521269,,Dub
5521383rid,5521383,,Pre-Existing Conditions - Dub
5521382rid,5521382,,Dub
5617041rid,5617041,,Coming Soon
5632907rid,5632907,,Season 2 Promo
5492361rid,5492361,,Part 3 of 8
5561666rid,5561666,,TCA Trailer - No playlist
5521272rid,5521272,,Dub
5582026rid,5582026,,FINAL
5553780rid,5553780,,Black & White
5560530rid,5560530,,Syndication Special
5633068rid,5633068,,Spanish - English subs
5521350rid,5521350,,Dub
5521398rid,5521398,,Dub
5521381rid,5521381,,Dub
5633069rid,5633069,,Spanish (no subs)
5641011rid,5641011,,Final Part 2
5563214rid,5563214,,ComicConTrailer - No playlist
5521270rid,5521270,,Dub
5521271rid,5521271,,Dub
5521399rid,5521399,,Dub
5599647rid,5599647,,The Hoodmaker
5521265rid,5521265,,Dub
5521268rid,5521268,,Dub
5521404rid,5521404,,Dub
5521384rid,5521384,,Dubs
5521406rid,5521406,,Dub
